iter	Passed	Remaining
878	3792	522
879	3797	517
880	3801	513
881	3804	509
882	3809	504
883	3813	500
884	3818	496
885	3821	491
886	3826	487
887	3831	483
888	3834	478
889	3837	474
890	3842	470
891	3846	465
892	3850	461
893	3855	457
894	3859	452
895	3863	448
896	3866	444
897	3871	439
898	3877	435
899	3881	431
900	3884	426
901	3887	422
902	3890	417
903	3893	413
904	3896	409
905	3900	404
906	3904	400
907	3908	396
908	3912	391
909	3917	387
910	3921	383
911	3925	378
912	3929	374
913	3932	370
914	3936	365
915	3939	361
916	3944	356
917	3947	352
918	3953	348
919	3957	344
920	3961	339
921	3966	335
922	3969	331
923	3974	326
924	3977	322
925	3983	318
926	3986	313
927	3991	309
928	3996	305
929	3999	301
930	4004	296
931	4007	292
932	4012	288
933	4017	283
934	4021	279
935	4026	275
936	4030	271
937	4035	266
938	4038	262
939	4042	258
940	4046	253
941	4050	249
942	4052	244
943	4057	240
944	4061	236
945	4065	232
946	4068	227
947	4072	223
948	4075	219
949	4078	214
950	4082	210
951	4085	205
952	4088	201
953	4092	197
954	4097	193
955	4101	188
956	4105	184
957	4108	180
958	4113	175
959	4117	171
960	4121	167
961	4125	162
962	4130	158
963	4134	154
964	4138	150
965	4142	145
966	4147	141
967	4151	137
968	4156	132
969	4159	128
970	4163	124
971	4167	120
972	4172	115
973	4176	111
974	4180	107
975	4184	102
976	4188	98
977	4192	94
978	4196	90
979	4199	85
980	4203	81
981	4208	77
982	4212	72
983	4217	68
984	4222	64
985	4227	60
986	4231	55
987	4236	51
988	4240	47
989	4244	42
990	4249	38
991	4253	34
992	4257	30
993	4261	25
994	4266	21
995	4271	17
996	4276	12
997	4280	8
998	4284	4
999	4288	0
